feature,f_stat,p_value,significant
lip_pull,4320.29675525125,0.0,True
MAR,1581.3110811948768,0.0,True
mouth_curl,1571.6392903005806,0.0,True
lip_tight,1549.9921504804256,0.0,True
ear_L,942.33094255514,0.0,True
lip_droop,853.9667304201699,0.0,True
ear_R,818.8125836353164,0.0,True
nose_lip,735.8649409032314,0.0,True
brightness_mean,323.1346243563675,2.3147247476194817e-271,True
brow_raise_L,251.329847734586,6.307765530083716e-212,True
brow_raise_R,232.8678454475128,1.5355663552126283e-196,True
inter_brow,160.16606187242036,1.5449419074108878e-135,True
lower_edge_density,145.39125070695866,4.6220593020760504e-123,True
lbp_h00,132.2333582005562,6.264287030067892e-112,True
cheek_L,120.99994735606342,2.0712191668164558e-102,True
cheek_R,110.97646267685634,6.635345104231605e-94,True
lbp_h02,98.2532159895417,4.29870106157472e-83,True
hog_h02,94.54336262751252,6.1476641917369445e-80,True
hog_h15,88.50797884674724,8.408066595573337e-75,True
jaw_open,75.06545050378416,2.369512406148978e-63,True
lbp_h01,71.90204894438314,1.1775913783494106e-60,True
brow_eye_L,66.2406532760004,7.904774094857395e-56,True
hog_h03,63.84641998117667,8.702659762245709e-54,True
hog_h01,61.70087658500205,5.881818175880874e-52,True
brow_eye_R,59.206127711445184,7.895127838912206e-50,True
hog_h04,56.16181337240959,3.1196220537114238e-47,True
lbp_h05,46.59514456780311,4.5073168352442674e-39,True
lbp_h04,46.30313963544155,7.997150855665573e-39,True
lbp_h03,32.444648712803534,5.1386123706631586e-27,True
hog_h00,32.25826161249018,7.403324713284198e-27,True
hog_h05,23.93563095926593,8.673894548863977e-20,True
hog_h14,23.689853495420586,1.4011448630760477e-19,True
hog_h11,20.89870833674793,3.22762773921713e-17,True
hog_h13,14.87573875447403,3.817757973003097e-12,True
hog_h12,14.858805248972976,3.944602131549098e-12,True
hog_h06,14.303779483267343,1.1507656552781276e-11,True
hog_h10,14.243368983470043,1.2928959874817144e-11,True
hog_h09,13.550440862082741,4.9112853462054454e-11,True
hog_h08,13.236474666035226,8.98478021970985e-11,True
hog_h07,9.14760818808338,2.2147423947478646e-07,True
face_AR,,,False
